,Time (sec),Data (ADCBUFF Value)
0,0.029776334762573242,619.0
1,0.13842558860778809,617.0
2,0.24789166450500488,615.0
3,0.3567020893096924,616.0
4,0.46532130241394043,623.0
5,0.5748600959777832,617.0
6,0.6834254264831543,618.0
7,0.792426347732544,621.0
8,0.901496171951294,613.0
9,1.0106327533721924,621.0
10,1.1190109252929688,637.0
11,1.2282934188842773,612.0
12,1.3375930786132812,620.0
13,1.4461522102355957,627.0
14,1.555408239364624,629.0
15,1.6648435592651367,623.0
16,1.7732834815979004,616.0
17,1.8821444511413574,529.0
18,1.9913771152496338,479.0
19,2.100752830505371,424.0
20,2.2097535133361816,391.0
21,2.3191072940826416,367.0
22,2.4271745681762695,324.0
23,2.5364737510681152,291.0
24,2.6453235149383545,244.0
25,2.7552144527435303,183.0
26,2.863481044769287,132.0
27,2.9726765155792236,141.0
28,3.082095146179199,143.0
29,3.1914541721343994,144.0
30,3.300142526626587,86.0
31,3.4088571071624756,0.0
32,3.5174684524536133,0.0
33,3.6258270740509033,0.0
34,3.7347264289855957,0.0
35,3.843080759048462,0.0
36,3.9520695209503174,0.0
37,4.0595245361328125,0.0
38,4.169128894805908,0.0
39,4.277502775192261,0.0
40,4.38665771484375,28.0
41,4.495481967926025,60.0
42,4.604707717895508,99.0
43,4.7134010791778564,106.0
44,4.82207989692688,151.0
45,4.932181119918823,177.0
46,5.040913820266724,239.0
47,5.150092124938965,298.0
48,5.258787631988525,359.0
49,5.36774206161499,369.0
50,5.476890563964844,394.0
51,5.585883140563965,394.0
52,5.694668292999268,369.0
53,5.803887844085693,384.0
54,5.912808656692505,397.0
55,6.021454572677612,374.0
56,6.130662441253662,393.0
57,6.239309310913086,395.0
58,6.348276376724243,460.0
59,6.457657814025879,545.0
60,6.567288875579834,640.0
61,6.675536632537842,701.0
62,6.785274267196655,792.0
63,6.893347263336182,887.0
64,7.003146409988403,939.0
65,7.111793756484985,1023.0
66,7.221216917037964,1023.0
67,7.330062389373779,1023.0
68,7.438756704330444,1023.0
69,7.548213720321655,1023.0
70,7.656411409378052,1023.0
71,7.765596866607666,1023.0
72,7.8749730587005615,1023.0
73,7.983772277832031,1023.0
74,8.092843055725098,1023.0
75,8.202201843261719,1010.0
76,8.3106107711792,972.0
77,8.420141696929932,943.0
78,8.529422521591187,917.0
79,8.63752007484436,910.0
80,8.746835231781006,872.0
81,8.855527639389038,843.0
82,8.965096712112427,806.0
83,9.074219703674316,781.0
84,9.183282375335693,736.0
85,9.29180908203125,687.0
86,9.400848150253296,631.0
87,9.509359359741211,597.0
88,9.618929862976074,565.0
89,9.728260517120361,535.0
90,9.83632516860962,476.0
91,9.945569038391113,437.0
92,10.054838418960571,368.0
